"book_num","book_id","chapter","verse","manuscript","date","words",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"MRK",1,3,"Nestle",1904,"φωνὴ","βοῶντος","ἐν","τῇ","ἐρήμῳ","Ἑτοιμάσατε","τὴν","ὁδὸν","Κυρίου","εὐθείας","ποιεῖτε","τὰς","τρίβους","αὐτοῦ","|",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"MRK",1,4,"GA 01","325-360","και","εγενετο","ιωαννησ","ο","βαπτιζων","εν","τη","ερημω",,"και","κηρυσσων","βαπτισμα","μετανοιασ","εισ","αφεσι","αμαρτιων","|",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"MRK",1,4,"GA 03","325-349",,"εγενετο","ιωανησ","ο","βαπτιζων","εν","τη","ερημω",,,"κηρυσσων","βαπτισμα","μετανοιασ","εισ","αφεσι","αμαρτιων","|",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"MRK",1,4,"GA 02","375-499",,"εγενετο","ιωαννησ",,"βαπτιζων","εν","τη","ερημω",,"και","κηρυσσων","βαπτισμα","μετανοιασ","εισ","αφεσιν","αμαρτιω","|",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"MRK",1,4,"GA 05","375-499",,"εγενετο","ιωαννησ",,,"εν","τη","ερημω","βαπτιζων","και","κηρυσσων","βαπτισμα","μετανοιασ","εισ","αφεσιν","αμαρτιων","|",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"MRK",1,4,"GA 032","375-499","και","εγενετο","ιωαννησ",,"βαπτιζων","εν","τη","ερημω",,"και","κηρυσσω","βαπτισμα","μετανοιασ","εισ","αφεσιν","αμαρτιων","|",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"MRK",1,4,"WH",1885,,"εγενετο","ιωανησ","ο","βαπτιζων","εν","τη","ερημω",,,"κηρυσσων","βαπτισμα","μετανοιασ","εισ","αφεσιν","αμαρτιων","|",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"MRK",1,4,"ST",1550,,"εγενετο","ιωαννησ",,"βαπτιζων","εν","τη","ερημω",,"και","κηρυσσων","βαπτισμα","μετανοιασ","εισ","αφεσιν","αμαρτιων","|",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"MRK",1,4,"Nestle",1904,"ἐγένετο","Ἰωάνης","ὁ","βαπτίζων","ἐν","τῇ","ἐρήμῳ",,,"κηρύσσων","βάπτισμα","μετανοίας","εἰς","ἄφεσιν","ἁμαρτιῶν","|",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"MRK",1,5,"GA 01","325-360","και","εξεπορευετο","προσ","αυτον","πασα","η","ιουδαια","χωρα","και","οι","ιεροσολυμειτε","παντεσ",,"εβαπτιζοτο","υπ","αυτου","εν","τω","ιορδανη","ποταμω",,,"εξομολογουμενοι","τασ","αμαρτιασ","αυτω","|",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"MRK",1,5,"GA 03","325-349","και","εξεπορευετο","προσ","αυτον","πασα","η","ιουδαια","χωρα","και","οι","ιεροσολυμειται","παντεσ","και","εβαπτιζοντο","υπ","αυτου","εν","τω","ιορδανη","ποταμω",,,"εξομολογουμενοι","τασ","αμαρτιασ","αυτω","|",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"MRK",1,5,"GA 02","375-499","και","εξεπορευετο","προσ","αυτον","πασα","η","ιουδαια","χωρα","και","οι","ιεροσολυμειται",,"και","εβαπτιζοντο",,"παντεσ","εν","τω","ιορδανη","ποταμω","υπ","αυτου","εξομολογουμενοι","τασ","αμαρτιασ","αυτων","|",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
