"book_num","book_id","chapter","verse","manuscript","date","words",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"MRK",1,1,"ST",1550,"αρχη","του","ευαγγελιου","ιησου","χριστου","υιου","του","θεου",,,"|",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"MRK",1,1,"Nestle",1904,"Ἀρχὴ","τοῦ","εὐαγγελίου","Ἰησοῦ","Χριστοῦ",,"Υἱοῦ","Θεοῦ",,,"|",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"MRK",1,2,"TM 140277","275-399","ωσ","γεγραπται","εν","τω","ησαια","τω","προφητη","ιδου",,"αποστελω","τον","αγγελον","μου","προ","προσωπου","σου","οσ","κατασκευασει","*",,,,,"|",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"MRK",1,2,"GA 01","325-360","καθωσ","γεγραπται","εν","τω","ησαια","τω","προφητη","ιδου","εγω","αποστελω","τον","αγγελον","μου","προ","προσωπου","σου","οσ","κατασκευασει","την","οδον","σου",,,"|",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"MRK",1,2,"GA 03","325-349","καθωσ","γεγραπται","εν","τω","ησαια","τω","προφητη","ιδου",,"αποστελλω","τον","αγγελον","μου","προ","προσωπου","σου","οσ","κατασκευασει","την","οδο","σου",,,"|",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"MRK",1,2,"GA 02","375-499","ωσ","γεγραπται","εν","τοισ",,,"προφηταισ","ιδου","εγω","αποστελλω","τον","αγγελο","μου","προ","προσωπου","σου","οσ","κατασκευασει","την","οδον","σου","εμπροσθεν","σου","|",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"MRK",1,2,"GA 05","375-499","ωσ","γεγραπται","εν",,"ησαια","τω","προφητη","ιδου",,"αποστελλω","τον","αγγελον","μου","προ","προσωπου","σου","οσ","κατασκευασει","την","οδον","σου",,,"|",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"MRK",1,2,"GA 032","375-499","ωσ","γεγραπται","εν","τοισ",,,"προφηταισ","ιδου","εγω","αποστελλω","τον","αγγελον","μου","προ","προσωπου","σου","οσ","κατασκευασει","την","οδον","σου",,,"|",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"MRK",1,2,"WH",1885,"καθωσ","γεγραπται","εν","τω","ησαια","τω","προφητη","ιδου",,"αποστελλω","τον","αγγελον","μου","προ","προσωπου","σου","οσ","κατασκευασει","την","οδον","σου",,,"|",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"MRK",1,2,"ST",1550,"ωσ","γεγραπται","εν","τοισ",,,"προφηταισ","ιδου","εγω","αποστελλω","τον","αγγελον","μου","προ","προσωπου","σου","οσ","κατασκευασει","την","οδον","σου","εμπροσθεν","σου","|",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
