"book_num","book_id","chapter","verse","manuscript","date","words"
"18","PHM","1","07","GA 04","375-499","χαραν","γαρ","","πολλην","εσχον","και","παρακλησιν","επι","τη","αγαπη","σου","οτι","τα","σπλαγχνα","των","αγιων","αναπεπαυται","δια","σου","αδελφε"
"18","PHM","1","07","WH","1885","χαραν","γαρ","","πολλην","εσχον","και","παρακλησιν","επι","τη","αγαπη","σου","οτι","τα","σπλαγχνα","των","αγιων","αναπεπαυται","δια","σου","αδελφε"
"18","PHM","1","07","ST","1550","χαριν","γαρ","εχομεν","πολλην","","και","παρακλησιν","επι","τη","αγαπη","σου","οτι","τα","σπλαγχνα","των","αγιων","αναπεπαυται","δια","σου","αδελφε"
"18","PHM","1","08","GA 01","325-360","διο","πολλην","εν","χω","παρρησιαν","εχω","επιτασσιν","σοι","το","ανηκον"
"18","PHM","1","08","GA 02","375-499","διο","πολλην","εν","χω","παρρησιαν","εχων","επιτασσειν","σοι","το","ανηκον"
"18","PHM","1","08","GA 04","375-499","διο","πολλην","εν","χω","παρρησιαν","εχων","επιτασσειν","σοι","το","ανηκον"
"18","PHM","1","08","WH","1885","διο","πολλην","εν","χριστω","παρρησιαν","εχων","επιτασσειν","σοι","το","ανηκον"
"18","PHM","1","08","ST","1550","διο","πολλην","εν","χριστω","παρρησιαν","εχων","επιτασσειν","σοι","το","ανηκον"
"18","PHM","1","09","GA 01","325-360","δια","την","αγαπην","μαλλον","παρακαλω","τοιουτοσ","ων","ωσ","παυλοσ","πρεσβυτησ","νυνι","δε","και","δεσμιοσ","","χυ","ιυ"
"18","PHM","1","09","GA 02","375-499","δια","την","αναγκην","μαλλον","παρακαλω","τοιουτοσ","ων","ωσ","παυλοσ","πρεσβυτησ","νυν","δε","και","δεσμιοσ","","χυ","ιυ"
"18","PHM","1","09","GA 04","375-499","δια","την","αγαπην","μαλλον","παρακαλω","τοιουτοσ","ων","ωσ","παυλοσ","πρεσβυτησ","νυνι","δε","και","δεσμιοσ","","χυ","ιυ"
"18","PHM","1","09","WH","1885","δια","την","αγαπην","μαλλον","παρακαλω","τοιουτοσ","ων","ωσ","παυλοσ","πρεσβυτησ","νυνι","δε","και","δεσμιοσ","","χριστου","ιησου"
"18","PHM","1","09","ST","1550","δια","την","αγαπην","μαλλον","παρακαλω","τοιουτοσ","ων","ωσ","παυλοσ","πρεσβυτησ","νυνι","δε","και","δεσμιοσ","ιησου","χριστου",""
"18","PHM","1","10","GA 01","325-360","παρακαλω","σε","περι","του","εμου","τεκνου","ον","","εγεννησα","εν","τοισ","δεσμοισ","","ονησιμον"
"18","PHM","1","10","GA 02","375-499","παρακαλω","σε","περι","του","εμου","τεκνου","ον","εγω","εγεννησα","εν","τοισ","δεσμοισ","","ονησιμον"
"18","PHM","1","10","GA 04","375-499","παρακαλω","σε","περι","του","εμου","τεκνου","ον","","εγεννησα","εν","τοισ","δεσμοισ","μου","ονησιμον"
"18","PHM","1","10","WH","1885","παρακαλω","σε","περι","του","εμου","τεκνου","ον","","εγεννησα","εν","τοισ","δεσμοισ","","ονησιμον"
"18","PHM","1","10","ST","1550","παρακαλω","σε","περι","του","εμου","τεκνου","ον","","εγεννησα","εν","τοισ","δεσμοισ","μου","ονησιμον"
"18","PHM","1","11","GA 01","325-360","τ��","ποτε","σοι","αχρηστον","νυνι","δε","και","σοι","και","εμοι","ευχρηστον"
"18","PHM","1","11","GA 01^","325-360","τον","ποτε","σοι","αχρηστον","νυνι","δε","και","σοι","και","εμοι","ευχρηστον"
"18","PHM","1","11","GA 02","375-499","τον","ποτε","σοι","αχρηστον","νυνι","δε","","σοι","και","εμοι","ευχρηστον"
"18","PHM","1","11","GA 04","375-499","τον","ποτε","σοι","αχρηστο","νυνι","δε","","σοι","και","εμοι","ευχρηστον"
"18","PHM","1","11","WH","1885","τον","ποτε","σοι","αχρηστον","νυνι","δε","","σοι","και","εμοι","ευχρηστον"
"18","PHM","1","11","ST","1550","τον","ποτε","σοι","αχρηστον","νυνι","δε","","σοι","και","εμοι","ευχρηστον"
